Fall,College,Major_Name,Total,Female,Male,MFRatio,Caucasian,Asian American,African American,Hispanic,Native American
2018,Engineering,Environ Engr In Civil Engr,99,44,55,1.25,31,4,2,6,0
2018,Engineering,Engineering Undeclared,151,57,94,1.65,61,30,12,26,0
2018,Education,Anthropology,152,102,50,0.49,74,10,17,17,0
2018,Education,African American Studies,20,14,6,0.43,0,1,16,1,0
2018,Education,Advertising,645,438,207,0.47,411,59,34,53,0
2018,Applied Health Sciences,Kinesiology,634,348,286,0.82,351,99,38,81,0
2018,Applied Health Sciences,Community Health,656,496,160,0.32,261,102,138,113,0
2018,Applied Health Sciences,Audiology,26,23,2,0.09,21,4,0,1,0
2018,Aces,Nutritional Sciences,41,31,10,0.32,16,8,2,8,0
2018,Fine And Applied Arts,Nondegree,81,41,40,0.98,51,0,1,4,0
2018,Aces,Natural Resrcs & Environ Sci,241,143,98,0.69,155,14,9,31,1
2018,Aces,Natural Res & Env Sciences,118,60,58,0.97,91,1,1,4,0
2018,Aces,Human Dvlpmt & Family Studies,24,23,1,0.04,8,0,3,4,0
2018,Aces,Human Development & Family St,253,230,22,0.1,112,22,48,61,0
2018,Aces,Food Science & Human Nutrition,480,350,130,0.37,210,64,20,52,0
2018,Aces,Crop Sciences,238,102,136,1.33,161,5,5,9,0
2018,Aces,Animal Sciences,626,496,128,0.26,355,47,49,116,0
2018,Aces,Agricultural Education,32,22,10,0.45,30,0,2,0,0
2018,Aces,Agricultural Communications,38,27,11,0.41,29,1,3,5,0
2018,Aces,Agricultural & Biological Engr,84,37,47,1.27,50,10,1,5,0
2018,Aces,Agricultural & Applied Econ,86,38,48,1.26,13,4,2,2,0
2018,Aces,Agric Leadership & Sci Educ,55,38,17,0.45,53,1,0,0,0
2018,Aces,Agr & Consumer Economics,647,195,452,2.32,440,57,28,48,2
2018,Applied Health Sciences,Interdisciplinary Health Sci,328,268,60,0.22,166,66,29,50,0
2018,Fine And Applied Arts,Nondegree,38,22,16,0.73,22,4,3,4,0
2018,Education,Actuarial Science,398,167,231,1.38,123,97,7,16,0
2018,Applied Health Sciences,Public Health,20,16,4,0.25,10,2,3,4,0
2018,Education,Accountancy,1430,774,656,0.85,509,217,42,92,0
2018,Education,Aces Undeclared,55,29,26,0.9,25,3,8,10,0
2018,Dgs,Undeclared,2474,1121,1352,1.21,914,336,301,532,3
2018,Dgs,Pre-Engineering,488,94,394,4.19,162,116,10,49,0
2018,Business,Technology Management,78,35,43,1.23,9,4,1,2,0
2018,Business,Supply Chain Management,85,53,32,0.6,47,21,3,5,0
2018,Fine And Applied Arts,Nondegree,97,47,50,1.06,2,0,0,0,0
2018,Business,Marketing,240,166,74,0.45,125,36,17,28,0
2018,Business,Management,107,55,52,0.95,55,17,10,18,0
2018,Business,Information Systems,25,10,14,1.4,13,12,0,0,0
2018,Business,Information Sys & Info Tech,103,46,57,1.24,40,30,4,14,0
2018,Business,Finance,887,315,572,1.82,349,142,17,51,0
2018,Business,Curric Unassigned,1021,445,575,1.29,531,210,30,107,0
2018,Business,Business Administration (Mba),2017,652,1359,2.08,1011,424,118,152,2
2018,Business,Business Administration,95,52,41,0.79,4,2,2,2,0
2018,Applied Health Sciences,Speech & Hearing Science,298,284,14,0.05,210,24,8,35,1
2018,Applied Health Sciences,"Recreation, Sport, And Tourism ",359,116,243,2.09,219,13,49,34,0
2018,Fine And Applied Arts,Industrial Design,201,102,99,0.97,56,48,7,15,0
2018,Education,Curriculum And Instruction,79,62,17,0.27,34,7,8,11,0
2018,Fine And Applied Arts,Jazz Performance,31,6,25,4.17,16,2,3,4,0
2018,Las,Molecular&Cell Bio-Undeclared,27,15,12,0.8,9,0,1,1,0
2018,Las,Sociology,213,136,77,0.57,65,13,47,50,0
2018,Las,Psychological Science,21,13,8,0.62,8,1,2,0,0
2018,Las,Political Science,768,345,422,1.22,434,66,60,138,0
2018,Las,Plant Biology,33,21,12,0.57,15,2,0,2,0
2018,Las,Physics,275,56,219,3.91,116,34,2,14,0
2018,Las,Philosophy,111,29,82,2.83,53,6,9,15,0
2018,Fine And Applied Arts,Nondegree,149,73,76,1.04,51,6,1,6,0
2018,Las,Neuroscience,54,32,22,0.69,27,4,1,7,0
2018,Las,Molecular And Cellular Biology,953,535,418,0.78,434,304,34,87,0
2018,Las,Global Studies,183,131,52,0.4,83,23,20,35,0
2018,Las,Molecular & Integrative Physi,23,15,8,0.53,7,2,0,1,0
2018,Las,Microbiology,49,29,20,0.69,19,5,0,4,0
2018,Las,Mathematics,772,265,506,1.91,162,82,13,53,0
2018,Las,Math & Computer Science,273,48,225,4.69,56,95,1,7,0
2018,Las,Linguistics,125,75,50,0.67,54,18,4,14,1
2018,Las,Las - Undeclared,135,89,46,0.52,3,2,67,61,0
2018,Las,Integrative Biology,347,200,147,0.74,191,48,23,51,0
2018,Las,History,340,124,216,1.74,219,17,19,48,0
2018,Las,Spanish,121,81,40,0.49,54,2,5,34,0
2018,Las,Statistics,561,236,325,1.38,96,96,8,23,0
2018,Las,Statistics & Computer Science,259,64,195,3.05,31,122,0,4,0
2018,Las,Teaching Of Biological Science,24,15,9,0.6,24,0,0,0,0
2018,Fine And Applied Arts,Landscape Architecture,108,76,32,0.42,26,5,1,10,0
2018,Ischool,Information Management,276,145,131,0.9,11,9,2,0,0
2018,Vetmed,Veterinary Medicine,545,470,75,0.16,450,24,4,39,1
2018,Vetmed,Vms-Veterinary Clinical Medcne,34,25,9,0.36,22,3,0,0,0
2018,Vetmed,Vms - Pathobiology,29,17,12,0.71,15,0,1,2,0
2018,Social Work,Social Work,607,521,86,0.17,383,33,64,88,0
2018,Medicine,Medicine - Carle Illinois Com,32,15,15,1,8,16,2,3,0
2018,Media,Strategic Brand Communication,68,51,17,0.33,50,4,7,5,0
2018,Fine And Applied Arts,Nondegree,26,13,13,1,11,0,1,0,0
2018,Media,Media And Cinema Studies,116,66,50,0.76,48,12,13,24,0
2018,Media,Journalism,228,138,90,0.65,130,15,25,31,1
2018,Media,Communications And Media,47,33,14,0.42,6,2,3,1,0
2018,Law,Law,487,218,269,1.23,260,45,17,36,0
2018,Labor And Industrial Relations,Human Res & Industrial Rels,251,177,74,0.42,101,20,30,18,0
2018,Ln,Nondegree-Ce,399,222,170,0.77,210,41,18,27,0
2018,Las,Translation And Interpreting,30,20,10,0.5,12,1,2,8,0
2018,Las,Teaching Of English Sec Lang,28,23,5,0.22,8,3,0,5,0
2018,Las,Health Communication,27,25,2,0.08,23,2,1,1,0
2018,Las,Psychology,1667,1230,437,0.36,659,284,166,286,0
2018,Las,Geology,97,42,55,1.31,54,7,2,12,0
2018,Las,Communication,732,452,280,0.62,392,53,102,116,0
2018,Las,Chemical Engineering,756,252,502,1.99,295,174,18,66,0
2018,Las,Cell And Developmental Biology,31,18,13,0.72,3,1,0,1,0
2018,Las,Biophysics & Quant Biology,46,13,33,2.54,11,4,0,2,0
2018,Las,Biology,720,440,280,0.64,291,221,48,111,0
2018,Las,Biochemistry,242,118,124,1.05,95,52,5,20,1
2018,Las,Atmospheric Sciences,117,40,77,1.92,70,5,2,13,0
2018,Las,Astronomy,119,41,78,1.9,53,11,5,12,0
2018,Graduate,Informatics,45,19,26,1.37,18,3,2,0,0
2018,Fine And Applied Arts,Voice,25,17,8,0.47,14,2,3,5,0
2018,Fine And Applied Arts,Urban Studies & Planning,80,31,49,1.58,35,3,7,15,0
2018,Fine And Applied Arts,Urban Planning,53,27,26,0.96,17,2,4,2,0
2018,Fine And Applied Arts,Theatre,201,115,85,0.74,130,10,18,24,0
2018,Fine And Applied Arts,Photography,32,24,8,0.33,16,1,4,6,0
2018,Fine And Applied Arts,Painting,36,32,4,0.12,15,5,5,6,0
2018,Fine And Applied Arts,Nondegree,38,21,17,0.81,9,1,1,3,0
2018,Fine And Applied Arts,New Media,29,22,7,0.32,12,9,2,2,0
2018,Fine And Applied Arts,Music Education,152,80,72,0.9,110,15,6,18,0
2018,Las,Chemistry,798,346,452,1.31,332,142,37,64,0
2018,Fine And Applied Arts,Music,338,160,178,1.11,174,29,11,28,0
2018,Las,Comparative Literature,29,22,7,0.32,16,0,0,5,0
2018,Las,Econometrics & Quant Econ,33,7,26,3.71,16,7,0,2,0
2018,Las,Computer Sci & Anthropology,36,10,26,2.6,10,13,1,3,0
2018,Las,Geography & Geographic Info Sc,38,8,30,3.75,19,6,3,3,0
2018,Las,Geography,53,21,32,1.52,14,1,3,2,0
2018,Las,General Curriculum,121,45,76,1.69,38,36,8,12,0
2018,Las,Gender And Women'S Studies,20,20,0,0,7,1,9,3,0
2018,Las,French,36,20,16,0.8,15,2,1,4,0
2018,Las,English,442,323,119,0.37,273,30,30,75,2
2018,Las,Economics,1202,368,834,2.27,377,203,22,67,2
2018,Las,Entomology,29,8,21,2.62,20,1,0,3,0
2018,Las,"Ecol, Evol, Conservation Biol ",34,23,11,0.48,19,2,2,6,0
2018,Las,"Earth, Soc, Env Sustainability ",139,76,63,0.83,75,18,9,20,1
2018,Las,E Asian Languages & Cultures,59,39,20,0.51,20,7,1,4,0
2018,Las,Creative Writing,98,60,38,0.63,61,2,11,18,0
2018,Las,Computer Sci & Linguistics,76,25,51,2.04,16,36,3,2,1
2018,Las,Computer Sci & Chemistry,41,9,32,3.56,6,22,0,3,0
2018,Las,Computer Sci & Astronomy,39,7,32,4.57,13,12,0,2,0
2017,Education,Middle Grades Education,76,59,17,0.29,49,6,4,14,0
2017,Engineering,Computer Science,2048,491,1557,3.17,502,570,33,90,2
2017,Engineering,Computer Engineering,1270,156,1114,7.14,351,431,18,52,0
2017,Engineering,Civil Engineering,1319,362,957,2.64,480,134,16,92,0
2017,Engineering,Bioengineering,369,182,187,1.03,157,107,6,22,0
2017,Aces,Agricultural & Biological Engr,152,57,95,1.67,68,10,6,8,0
2017,Engineering,Aerospace Engineering,716,104,612,5.88,350,120,8,66,1
2017,Engineering,Electrical & Computer Engr,620,108,512,4.74,91,59,6,7,0
2017,Education,Special Education,175,154,21,0.14,131,5,8,23,0
2017,Education,Ed Organization And Leadership,34,18,16,0.89,26,2,2,0,1
2017,Education,Learning And Education Studies,58,41,17,0.41,18,5,12,7,0
2017,Education,Elementary Education,296,279,17,0.06,194,31,17,45,0
2017,Education,Educational Psychology,56,41,15,0.37,21,3,2,0,0
2017,Education,Educational Policy Studies,68,41,27,0.66,10,4,29,9,1
2017,Education,Education Curriculum Uassign,26,20,6,0.3,11,2,6,7,0
2017,Education,"Educ Policy, Orgzn & Leadrshp ",522,365,157,0.43,306,27,102,47,1
2017,Engineering,Engineering,28,4,24,6,9,1,1,0,0
2017,Education,Early Childhood Education,65,62,3,0.05,34,9,2,9,1
2017,Engineering,Electrical Engineering,1025,146,879,6.02,322,267,18,50,0
2017,Fine And Applied Arts,Nondegree,184,36,148,4.11,35,6,1,2,0
2017,Engineering,Engineering Mechanics,129,22,107,4.86,37,25,0,10,0
2017,Engineering,Engineering Physics,271,41,230,5.61,124,58,3,16,0
2017,Fine And Applied Arts,Art And Design,41,29,12,0.41,20,5,1,3,0
2017,Fine And Applied Arts,Art Education,41,38,2,0.05,24,5,2,6,0
2017,Fine And Applied Arts,Architecture,179,93,86,0.92,58,13,5,12,0
2017,Fine And Applied Arts,Architectural Studies,433,183,250,1.37,184,48,26,80,0
2017,Engineering,Theoretical & Applied Mechans,42,6,36,6,12,2,0,1,0
2017,Engineering,Systems Engineering And Design,228,52,176,3.38,102,59,6,26,0
2017,Las,Physics,297,74,223,3.01,105,30,2,13,0
2017,Engineering,"Nuclear, Plasma, Radiolgc Engr ",234,33,201,6.09,124,19,2,13,0
2017,Engineering,Mechanical Engineering,1306,235,1071,4.56,516,166,14,85,2
2017,Engineering,Materials Science & Engr,520,151,369,2.44,183,91,4,16,0
2017,Engineering,Industrial Engineering,390,115,275,2.39,111,69,2,19,0
2017,Engineering,Financial Engineering,128,40,88,2.2,1,6,0,0,0
2017,Engineering,Environ Engr In Civil Engr,115,62,53,0.85,32,5,3,3,0
2017,Engineering,Engineering Undeclared,102,42,59,1.4,43,20,7,14,0
2017,Education,Curriculum And Instruction,91,69,22,0.32,44,5,8,11,0
2017,Aces,Agr & Consumer Economics,642,202,440,2.18,429,54,29,55,2
2017,Education,Anthropology,149,101,48,0.48,69,14,13,17,0
2017,Aces,Human Development & Family St,224,204,19,0.09,107,22,43,39,0
2017,Applied Health Sciences,Interdisciplinary Health Sci,285,231,54,0.23,144,46,23,48,0
2017,Applied Health Sciences,Community Health,614,483,131,0.27,242,99,127,115,0
2017,Applied Health Sciences,Audiology,26,22,4,0.18,19,5,0,2,0
2017,Aces,Nutritional Sciences,49,37,12,0.32,25,7,1,5,0
2017,Fine And Applied Arts,Nondegree,96,47,49,1.04,59,3,3,3,0
2017,Aces,Natural Resrcs & Environ Sci,228,130,98,0.75,143,18,8,29,1
2017,Aces,Natural Res & Env Sciences,120,65,55,0.85,95,1,1,2,0
2017,Aces,Human Dvlpmt & Family Studies,24,22,2,0.09,11,0,2,4,0
2017,Aces,Food Science & Human Nutrition,536,401,135,0.34,246,67,28,53,0
2017,Education,Advertising,632,427,205,0.48,398,58,35,48,0
2017,Aces,Crop Sciences,249,103,146,1.42,175,5,4,6,0
2017,Aces,Animal Sciences,585,485,99,0.2,339,50,41,96,0
2017,Aces,Agricultural Education,34,26,8,0.31,31,0,2,0,0
2017,Aces,Agricultural Communications,26,18,8,0.44,19,0,2,5,0
2017,Aces,Agricultural & Biological Engr,77,26,51,1.96,45,9,2,3,0
2017,Aces,Agricultural & Applied Econ,79,32,47,1.47,11,4,2,2,0
2017,Aces,Agric Leadership & Sci Educ,74,48,26,0.54,69,0,1,1,0
2017,Fine And Applied Arts,Graphic Design,167,126,41,0.33,83,26,9,20,0
2017,Applied Health Sciences,Kinesiology,643,368,275,0.75,371,99,35,77,1
2017,Fine And Applied Arts,Nondegree,46,22,24,1.09,30,4,0,5,0
2017,Applied Health Sciences,Public Health,26,22,4,0.18,12,4,3,2,0
2017,Applied Health Sciences,"Recreation, Sport, And Tourism ",363,133,230,1.73,224,13,54,34,0
2017,Education,Actuarial Science,335,121,214,1.77,121,77,5,12,0
2017,Education,Accountancy,1296,714,582,0.82,443,215,34,72,0
2017,Dgs,Undeclared,2626,1110,1516,1.37,960,370,301,475,1
2017,Dgs,Pre-Engineering,241,31,210,6.77,142,61,3,26,0
2017,Business,Technology Management,92,39,53,1.36,4,2,1,5,0
2017,Business,Supply Chain Management,79,50,29,0.58,55,12,0,6,0
2017,Fine And Applied Arts,Nondegree,114,47,67,1.43,1,0,0,0,0
2017,Business,Marketing,249,162,87,0.54,138,38,16,30,1
2017,Business,Management,118,56,62,1.11,62,16,11,15,0
2017,Business,Information Sys & Info Tech,113,48,65,1.35,46,38,6,15,0
2017,Business,Finance,845,305,540,1.77,337,132,10,39,0
2017,Business,Curric Unassigned,934,428,504,1.18,484,193,36,95,0
2017,Business,Business Administration (Mba),1158,374,783,2.09,637,215,73,78,0
2017,Business,Business Administration,92,48,44,0.92,4,4,2,3,0
2017,Applied Health Sciences,Speech & Hearing Science,312,295,17,0.06,228,23,6,35,1
2017,Fine And Applied Arts,Dance,71,62,9,0.15,42,2,15,5,0
2017,Las,Global Studies,191,141,50,0.35,85,23,18,35,0
2017,Fine And Applied Arts,Industrial Design,206,110,96,0.87,59,49,7,17,0
2017,Las,Spanish,135,99,36,0.36,59,2,5,42,0
2017,Las,Psychology,1583,1170,412,0.35,666,253,149,264,0
2017,Las,Political Science,696,298,398,1.34,397,70,48,113,0
2017,Las,Plant Biology,32,20,12,0.6,16,2,0,2,0
2017,Las,Physics,351,60,291,4.85,147,52,3,21,0
2017,Las,Philosophy,90,27,63,2.33,37,6,7,15,0
2017,Fine And Applied Arts,Nondegree,220,99,121,1.22,79,13,8,10,0
2017,Las,Neuroscience,59,34,25,0.74,35,4,1,5,0
2017,Las,Molecular&Cell Bio-Undeclared,38,22,16,0.73,14,3,0,2,0
2017,Las,Molecular And Cellular Biology,1002,540,462,0.86,449,333,41,94,0
2017,Las,Molecular & Integrative Physi,20,15,5,0.33,4,2,1,1,0
2017,Las,Microbiology,53,33,20,0.61,21,8,1,2,0
2017,Las,Mathematics,744,285,458,1.61,167,89,10,47,0
2017,Las,Math & Computer Science,306,57,248,4.35,77,87,3,11,0
2017,Las,Linguistics,135,93,42,0.45,65,13,4,19,0
2017,Las,Las - Undeclared,116,78,38,0.49,1,1,67,44,0
2017,Las,Integrative Biology,390,224,166,0.74,224,69,21,44,0
2017,Las,History,326,117,209,1.79,199,17,16,51,0
2017,Las,Sociology,200,119,81,0.68,64,12,42,42,0
2017,Las,Statistics,506,220,286,1.3,74,90,1,15,0
2017,Las,Geology,101,36,65,1.81,52,8,3,9,0
2017,Las,Statistics & Computer Science,203,53,150,2.83,32,98,0,3,0
2017,Ischool,Library & Information Science,552,427,121,0.28,435,17,25,21,0
2017,Fine And Applied Arts,Instrumental Music,75,43,32,0.74,46,10,2,11,0
2017,Vetmed,Veterinary Medicine,534,461,73,0.16,447,24,5,31,0
2017,Vetmed,Vms-Veterinary Clinical Medcne,30,22,8,0.36,23,1,0,0,0
2017,Vetmed,Vms - Pathobiology,28,15,13,0.87,15,0,1,1,0
2017,Social Work,Social Work,586,502,84,0.17,373,31,69,75,0
2017,Media,Strategic Brand Communication,23,18,5,0.28,16,1,2,3,0
2017,Fine And Applied Arts,Nondegree,21,12,9,0.75,6,1,2,0,0
2017,Media,Media And Cinema Studies,98,59,39,0.66,36,16,13,15,0
2017,Media,Journalism,239,155,84,0.54,132,19,29,34,1
2017,Media,Communications And Media,47,32,15,0.47,8,2,3,3,0
2017,Law,Law,545,227,318,1.4,264,46,23,28,0
2017,Labor And Industrial Relations,Human Res & Industrial Rels,258,168,90,0.54,96,27,30,16,0
2017,Ln,Nondegree-Ce,299,167,126,0.75,177,19,8,19,0
2017,Las,Translation And Interpreting,28,19,9,0.47,11,0,1,5,0
2017,Las,Teaching Of English Sec Lang,33,24,9,0.38,15,2,0,1,0
2017,Las,Teaching Of Biological Science,22,17,5,0.29,21,0,0,0,0
2017,Las,Health Communication,28,27,1,0.04,19,5,0,2,0
2017,Ischool,Information Management,189,99,90,0.91,14,6,1,3,0
2017,Las,Geography & Geographic Info Sc,38,9,29,3.22,17,6,5,2,0
2017,Las,Biophysics & Quant Biology,33,7,26,3.71,7,4,0,2,0
2017,Las,Biochemistry,240,118,122,1.03,94,60,3,11,0
2017,Las,Atmospheric Sciences,119,44,75,1.7,69,7,5,12,0
2017,Las,Astronomy,104,40,64,1.6,48,8,4,8,0
2017,Fine And Applied Arts,Nondegree,23,12,11,0.92,16,4,0,1,0
2017,Graduate,Informatics,45,14,31,2.21,18,3,1,0,0
2017,Fine And Applied Arts,Voice,34,24,10,0.42,21,2,5,5,0
2017,Fine And Applied Arts,Urban Studies & Planning,75,31,44,1.42,32,5,3,15,0
2017,Fine And Applied Arts,Urban Planning,68,35,33,0.94,22,2,2,3,0
2017,Fine And Applied Arts,Theatre,208,126,82,0.65,137,6,25,18,1
2017,Fine And Applied Arts,Photography,30,23,7,0.3,16,2,4,3,0
2017,Fine And Applied Arts,Painting,31,24,7,0.29,12,2,5,2,0
2017,Fine And Applied Arts,Nondegree,40,18,22,1.22,14,1,1,2,0
2017,Fine And Applied Arts,New Media,20,13,7,0.54,9,3,2,2,0
2017,Fine And Applied Arts,Music Education,166,95,71,0.75,125,14,5,17,0
2017,Fine And Applied Arts,Music,350,153,197,1.29,179,28,11,22,0
2017,Fine And Applied Arts,Landscape Architecture,111,83,28,0.34,29,4,0,10,0
2017,Las,Biology,696,431,265,0.61,283,194,63,93,0
2017,Fine And Applied Arts,Jazz Performance,28,5,23,4.6,16,3,4,2,0
2017,Las,Cell And Developmental Biology,31,16,15,0.94,3,2,0,1,0
2017,Las,E Asian Languages & Cultures,64,39,25,0.64,24,12,1,2,0
2017,Las,Geography,52,20,32,1.6,13,1,2,2,0
2017,Las,General Curriculum,163,57,106,1.86,55,36,18,23,0
2017,Las,French,36,22,14,0.64,12,4,2,3,0
2017,Las,Entomology,36,12,24,2,26,2,0,3,0
2017,Las,English,459,332,126,0.38,281,40,23,81,2
2017,Las,"Ecol, Evol, Conservation Biol ",36,22,14,0.64,23,2,2,5,0
2017,Las,"Earth, Soc, Env Sustainability ",150,70,80,1.14,76,12,6,36,1
2017,Las,Economics,1243,366,877,2.4,385,209,28,62,2
2017,Las,Creative Writing,103,61,42,0.69,65,2,13,16,0
2017,Las,Computer Sci & Anthropology,26,9,17,1.89,7,11,1,1,0
2017,Las,Computer Sci & Linguistics,69,21,48,2.29,19,30,2,4,1
2017,Las,Communication,716,460,256,0.56,397,56,85,103,0
2017,Las,Comparative Literature,23,16,7,0.44,15,0,1,2,0
2017,Las,Chemistry,819,342,477,1.39,335,148,34,80,0
2017,Las,Computer Sci & Astronomy,32,6,26,4.33,10,12,1,2,0
2017,Las,Computer Sci & Chemistry,47,10,37,3.7,11,21,0,3,0
2017,Las,Chemical Engineering,785,259,526,2.03,300,187,25,64,0
2016,Education,Special Education,174,153,21,0.14,136,7,6,19,0
2016,Engineering,Electrical & Computer Engr,585,97,488,5.03,99,46,6,8,0
2016,Engineering,Computer Science,1748,420,1328,3.16,428,472,24,55,1
2016,Engineering,Computer Engineering,1195,132,1063,8.05,377,344,18,58,0
2016,Engineering,Civil Engineering,1329,357,972,2.72,469,132,16,88,0
2016,Engineering,Bioengineering,349,159,190,1.19,158,109,6,22,0
2016,Aces,Agricultural & Biological Engr,121,41,80,1.95,51,4,2,7,0
2016,Engineering,Aerospace Engineering,672,89,583,6.55,312,108,8,65,1
2016,Education,Ed Organization And Leadership,28,18,10,0.56,16,2,3,1,1
2016,Education,Secondary Education,22,10,12,1.2,12,7,0,1,0
2016,Education,Middle Grades Education,37,29,8,0.28,25,3,4,5,0
2016,Education,Learning And Education Studies,46,37,9,0.24,19,3,12,6,0
2016,Education,Elementary Education,340,316,24,0.08,239,40,14,42,0
2016,Education,Educational Psychology,50,37,13,0.35,22,5,1,1,0
2016,Education,Educational Policy Studies,92,54,38,0.7,16,6,42,10,1
2016,Education,"Educ Policy, Orgzn & Leadrshp ",201,127,74,0.58,112,7,45,13,0
2016,Engineering,Engineering,25,4,21,5.25,8,0,1,1,0
2016,Engineering,Electrical Engineering,1151,148,1003,6.78,383,305,16,54,0
2016,Fine And Applied Arts,Nondegree,194,39,155,3.97,38,11,1,2,0
2016,Engineering,Engineering Mechanics,137,20,117,5.85,46,21,0,12,0
2016,Engineering,Engineering Physics,226,29,197,6.79,119,41,1,12,2
2016,Education,Curriculum And Instruction,101,76,25,0.33,51,4,9,12,1
2016,Fine And Applied Arts,Art And Design,43,28,15,0.54,24,4,0,5,0
2016,Fine And Applied Arts,Art Education,39,35,4,0.11,23,3,1,7,0
2016,Fine And Applied Arts,Architecture,159,76,83,1.09,50,17,3,4,0
2016,Fine And Applied Arts,Architectural Studies,417,176,241,1.37,176,47,24,65,0
2016,Engineering,Theoretical & Applied Mechans,51,8,43,5.38,17,4,0,2,0
2016,Las,Physics,286,67,219,3.27,104,27,2,11,0
2016,Engineering,"Nuclear, Plasma, Radiolgc Engr ",231,31,200,6.45,128,17,6,16,0
2016,Engineering,Mechanical Engineering,1269,219,1050,4.79,556,158,11,86,2
2016,Engineering,Materials Science & Engr,566,169,397,2.35,191,103,3,17,0
2016,Engineering,Industrial Engineering,353,102,251,2.46,114,51,3,9,0
2016,Engineering,Financial Engineering,121,37,84,2.27,2,8,0,0,0
2016,Engineering,Environ Engr In Civil Engr,118,66,52,0.79,33,7,1,6,0
2016,Engineering,Engineering Undeclared,75,30,45,1.5,33,19,1,5,0
2016,Education,Early Childhood Education,60,58,2,0.03,33,7,4,10,1
2016,Applied Health Sciences,"Recreation, Sport, And Tourism ",333,107,226,2.11,194,23,55,28,0
2016,Education,Anthropology,148,97,51,0.53,67,17,8,20,1
2016,Applied Health Sciences,Kinesiology,629,354,275,0.78,403,78,35,61,1
2016,Applied Health Sciences,Interdisciplinary Health Sci,239,197,42,0.21,109,38,24,48,0
2016,Applied Health Sciences,Community Health,597,464,133,0.29,241,97,134,96,0
2016,Applied Health Sciences,Audiology,29,25,4,0.16,22,6,0,1,0
2016,Aces,Nutritional Sciences,52,41,11,0.27,26,7,1,6,0
2016,Fine And Applied Arts,Nondegree,115,53,62,1.17,59,1,5,2,1
2016,Aces,Natural Resrcs & Environ Sci,226,121,105,0.87,133,16,7,28,1
2016,Aces,Natural Res & Env Sciences,79,41,38,0.93,65,1,0,1,0
2016,Aces,Human Dvlpmt & Family Studies,25,22,3,0.14,13,0,2,5,0
2016,Aces,Human Development & Family St,191,174,17,0.1,108,19,28,24,0
