,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
3177,1995,Media,Journalism,30.0,21.0,9.0,25.0,1.0,0.0,1.0,0.0,0.43
2979,1994,Media,Journalism,29.0,19.0,10.0,24.0,0.0,2.0,0.0,0.0,0.53
2779,1993,Media,Journalism,28.0,15.0,13.0,26.0,0.0,1.0,0.0,0.0,0.87
2584,1992,Media,Journalism,25.0,12.0,13.0,23.0,0.0,1.0,0.0,0.0,1.08
2388,1991,Media,Journalism,30.0,21.0,9.0,24.0,1.0,1.0,0.0,0.0,0.43
2189,1990,Media,Journalism,34.0,22.0,12.0,26.0,0.0,2.0,0.0,0.0,0.55
1988,1989,Media,Journalism,28.0,17.0,11.0,24.0,0.0,0.0,1.0,0.0,0.65
1785,1988,Media,Journalism,29.0,19.0,10.0,23.0,0.0,1.0,1.0,0.0,0.53
1585,1987,Media,Journalism,34.0,21.0,13.0,26.0,0.0,1.0,0.0,3.0,0.62
1383,1986,Media,Journalism,33.0,19.0,14.0,27.0,0.0,1.0,0.0,0.0,0.74
1182,1985,Media,Journalism,37.0,22.0,15.0,32.0,1.0,2.0,1.0,0.0,0.68
978,1984,Media,Journalism,47.0,24.0,23.0,1.0,3.0,0.0,36.0,6.0,0.96
776,1983,Media,Journalism,48.0,25.0,23.0,34.0,0.0,3.0,5.0,0.0,0.92
574,1982,Media,Journalism,37.0,21.0,16.0,2.0,1.0,1.0,31.0,0.0,0.76
378,1981,Media,Journalism,45.0,22.0,23.0,37.0,1.0,2.0,0.0,0.0,1.05
185,1980,Media,Journalism,203.0,128.0,75.0,1.0,1.0,2.0,189.0,8.0,0.59
